코드,업종키워드명,업종코드
10803,호텔,108
10804,콘도,108
10805,카지노,108
10806,여행사,108
10807,항공사,108
10813,관광,108
10814,관광통역,108
10818,면세점,108
10819,유학·이민,108
10901,음식료,109
10902,식품·푸드,109
10906,한식당,109
10907,일식당,109
10908,양식당,109
10909,중식당,109
10910,제과제빵점,109
10911,출장요리,109
10912,케이터링,109
10917,프랜차이즈,109
10918,횟집·초밥·스시,109
10919,뷔페,109
10920,퓨전푸드,109
10926,구내식당,109
10927,피자·스파게티,109
10930,프랑스요리,109
10931,이태리요리,109
10932,치킨·통닭,109
10933,패밀리레스토랑,109
10934,샐러드바,109
10935,테이크아웃,109
10936,돈까스·우동,109
10937,패스트푸드,109
11103,용역업체,111
11106,보안·경비업체,111
11111,청소·방역,111
11113,주차관제,111
11114,기계·장비관리,111
11115,전기·가스·수도,111
11116,소방·방재,111
11117,시설관리,111
11118,아웃소싱,111
11119,서치펌,111
11120,헤드헌팅,111
11121,파견대행,111
11501,스포츠,115
11502,레저,115
11503,놀이공원,115
11504,서바이벌게임,115
11505,래프팅,115
11506,스포츠센터,115
11507,골프장CC,115
11508,수영장,115
11509,리조트,115
11510,펜션,115
11511,민박,115
11512,방갈로,115
11513,휘트니스센터,115
11514,볼링장,115
11515,오락·PC방,115
11520,요가학원,115
11521,댄스학원,115
11522,E-스포츠,115
11523,테마파크,115
11524,스키장,115
11525,당구장,115
11526,무술·격투,115
11801,경정비,118
11802,중정비,118
11803,검사소,118
11804,카센터,118
11805,A·S센터,118
11807,주유·LPG,118
11901,렌탈샵,119
11902,임대,119
11903,대여점(책,DVD),119
11904,렌터카,119
11905,오토리스,119
12001,예식장·웨딩홀,120
12002,결혼정보회사,120
12003,커플매니저,120
12004,이벤트·공연,120
12005,장례·상조,120
12006,웨딩컨설팅,120
12102,포장,121
12104,꽃집,121
12108,세탁소,121
12113,사적지관리,121
12114,식물원·동물원,121
12115,노래연습실,121
12116,복권발행,121
12117,독서실,121
12118,애견센터 훈련,121
12201,헤어샵,122
12202,피부관리,122
12203,두피관리,122
12204,다이어트,122
12205,스파·찜질방,122
12206,마사지,122
12207,애견미용,122
12208,네일아트,122
12209,메이크업,122
20101,Micom,201
20102,기구설계,201
20103,Microprocessor,201
20104,SMT,201
20105,전기,201
20106,회로설계,201
20107,전기설비,201
20108,전기설계,201
20109,전기기술,201
20110,전기공사,201
20112,자동제어,201
20113,PLC,201
20114,전자,201
20117,RF,201
20119,SEM·TEM,201
20121,Hardware,201
20122,Firmware,201
20123,HMI·MMI,201
20124,가전제품,201
20205,기계,202
20206,기계설비,202
20207,기계설계,202
20208,CAD·CAM,202
20210,메카트로닉스,202
20211,자동차정비,202
20212,자동차,202
20214,자동차부품,202
20314,토목기사,203
20401,주유,204
20402,정유,204
20403,석유화학,204
20404,화학,204
20405,화공,204
20406,에너지,204
20412,프라스틱제조,204
20414,사출·압출,204
20415,폴리머,204
20417,원자력,204
20418,도료,204
20419,유기합성,204
20420,고무,204
20501,섬유,205
20503,의류·의상,205
20504,디스플레이,205
20506,패션,205
20508,코디네이터,205
20509,악세서리,205
20511,남성의류,205
20512,여성의류,205
20513,유아의류,205
20514,이너웨어,205
20515,섬유공학,205
20516,쥬얼리,205
20517,잡화,205
20701,화장품,207
20704,뷰티,207
20801,소비재,208
20804,생활용품,208
20805,완구,208
20806,사무용품,208
20808,문구·팬시,208
20901,목재,209
20902,제지,209
20903,가구,209
20904,부엌가구,209
20905,사무용가구,209
21001,농업,210
21002,어업,210
21003,축산,210
21004,수산업,210
21005,임업,210
21006,광업,210
21101,금속,211
21102,금속재료,211
21103,요업,211
21104,세라믹스,211
21105,철강,211
21106,제련·제강,211
21107,신소재,211
21108,제철,211
21201,조선,212
21202,항공,212
21203,우주,212
21204,선박,212
21301,기타제조업,213
21302,지도제작업,213
21303,제조업 회사본사,213
21401,식음료,214
21402,식품가공,214
21403,제과제빵,214
21501,반도체,215
21502,PCB,215
21503,IC설계,215
21506,LCD,215
21507,TFT,215
21508,DVD,215
21509,디스플레이,215
21510,PDP,215
21511,정밀광학,215
21512,발광다이오드,215
21513,LED·AMOLED,215
21601,환경,216
21602,수질환경,216
21603,대기환경,216
21604,폐기물처리,216
21605,소음진동,216
30101,SI·시스템통합,301
30102,ERP,301
30103,CRM,301
30104,DRM,301
30105,DW,301
30106,KMS,301
30107,NI·네트워크통합,301
30108,DataMining,301
30110,OLAP,301
30111,SCM,301
30112,DBMS,301
30113,시스템관리,301
30114,BPR,301
30115,BSC,301
30116,솔루션업체,301
30117,ASP,301
30118,소프트웨어개발,301
30119,SEM,301
30120,SM,301
30201,웹에이전시,302
30202,웹프로덕션,302
30203,웹스튜디오,302
30401,전자상거래,304
30403,쇼핑몰,304
30404,B2B,304
30405,옥션·경매,304
30406,B2C,304
30407,오픈마켓,304
30408,가격비교,304
30501,종합포털,305
30502,컨텐츠제공,305
30503,취업포털,305
30504,여성포털,305
30505,인터넷영화,305
30506,인터넷방송,305
30507,인터넷금융,305
30508,인터넷교육,305
30509,인터넷만화,305
30510,인터넷부동산,305
30512,게임포털,305
30513,인터넷여행,305
30514,인터넷법률,305
30515,인터넷생활정보,305
30516,커뮤니티,305
30517,인터넷뉴스·신문,305
30518,인터넷건강·의학,305
30519,종교포털,305
30520,인터넷서점,305
30521,인터넷음악,305
30601,네트웍구축,306
30602,통신,306
30603,텔레콤,306
30607,와이브로,306
30608,모바일,306
30609,유비쿼터스,306
30610,블루투스,306
30612,WIPI,306
30613,WAP,306
30614,PDA·스마트폰,306
30615,모바일게임,306
30616,뱅킹·빌링,306
30617,CDN,306
30618,웹호스팅,306
30619,인터넷전화,306
30620,아이폰,306
30621,안드로이드,306
30622,윈도우모바일,306
30623,텔레매틱스,306
30624,HDML,306
30625,mHTML,306
30626,cHTML,306
30627,GSM·GVM,306
30628,SKVM,306
30629,BREW,306
30630,CDMA,306
30631,모바일APP,306
30632,Phone,306
30633,무선통신,306
30701,하드웨어,307
30702,펌웨어,307
30703,장비구축,307
30704,유지보수,307
30705,코덱·인코딩,307
30706,스토리지,307
30707,AS,307
30801,보안,308
30802,백신,308
30803,방화벽,308
30804,IDS·IPS,308
30805,보안컨설팅,308
30806,ESM,308
30808,SSL,308
30809,바이러스,308
30810,네트워크보안,308
30811,정보보안,308
30812,해킹,308
30813,스팸·웜,308
30814,보안ASP,308
31301,IT컨설팅,313
31302,인큐베이팅,313
31303,셋업,313
31304,IFRS,313
31305,SAP,313
31306,ERP,313
31307,SCM,313
31308,CRM,313
31309,Oracle,313
31310,BPM,313
31311,KMS,313
31312,DW,313
31401,게임개발,314
31402,게임기획·마케팅,314
31403,게임디자인,314
31404,게임음향,314
31405,게임운영,314
31406,게임,314
31407,GM·CS,314
31408,게임시나리오,314
31409,3D온라인게임,314
31410,RPG,314
31411,2D온라인게임,314
31412,Flash게임,314
31413,웹게임,314
31414,베타테스터,314
40101,금융기관,401
40102,일반은행,401
40114,지방은행,401
40115,외국은행,401
40116,특수은행,401
40117,농협·수협·축협,401
40118,저축은행,401
40119,신용협동조합,401
40120,종합금융,401
40121,국제금융,401
40122,텔러,401
40123,부동산투자,401
40124,부동산운용,401
40125,자산관리,401
40126,투자상담,401
40201,캐피탈,402
40205,신용대출,402
40206,담보대출,402
40207,학자금대출,402
40208,여신,402
40501,비금융지주회사,405
40601,증권사,406
40602,신용카드사,406
40603,생명보험,406
40604,화재보험,406
40605,펀드매니저,406
40606,애널리스트,406
40607,포인트카드,406
40608,자동차보험,406
40609,보험사,406
40610,손해사정,406
50101,신문사,501
50102,잡지사,501
50103,언론사,501
50104,일간지,501
50105,경제신문,501
50106,스포츠신문,501
50107,인터넷신문,501
50108,지역신문,501
50109,전문신문,501
50201,공중파방송,502
50202,케이블방송,502
50203,위성방송,502
50204,인터넷방송,502
50205,종합유선방송,502
50206,DMB방송,502
50207,라디오방송,502
50209,홈쇼핑,502
50210,방송협회,502
50211,미디어,502
50212,방송장비,502
50213,IPTV,502
50301,연예,503
50302,연예기획사,503
50303,스튜디오,503
50304,매니지먼트,503
50306,엔터테인먼트,503
50307,프로덕션,503
50401,광고기획사,504
50404,광고대행사,504
50405,홍보대행사,504
50406,광고영업,504
50408,전시기획,504
50410,컨벤션,504
50411,국제회의,504
50412,이벤트대행,504
50413,ATL,504
50414,BTL,504
50415,프로모션대행사,504
50501,영화기획사,505
50502,영화제작사,505
50503,배급유통사,505
50504,투자사,505
50505,영화관,505
50506,음반기획사,505
50507,스튜디오,505
50508,녹음실,505
50509,편집실,505
50510,영화홍보대행,505
50601,문화기획,506
50602,공연기획,506
50603,콘서트홀,506
50604,극단,506
50605,소극장,506
50606,오페라·뮤지컬,506
50607,문화예술회관,506
50608,아카데미,506
50609,공연예술,506
50901,출판사,509
50902,인쇄·제본,509
50903,편집,509
50906,전자출판,509
50908,복사,509
50910,사진·촬영,509
51001,캐릭터,510
51002,애니메이션,510
51003,만화,510
51004,멀티·동영상,510
51005,플래시캐릭터,510
51006,무선캐릭터,510
51101,디자인회사,511
51102,설계·CAD,511
51103,시각디자인,511
51104,산업디자인,511
51105,환경디자인,511
51106,공예디자인,511
51108,광고디자인,511
51109,전시·공간디자인,511
51110,멀티미디어디자인,511
60101,교육기관,601
60102,대학교,601
60103,특수학교,601
60104,외국인학교,601
60105,초등학교,601
60106,중학교,601
60107,고등학교,601
60201,IT학원,602
60202,입시학원,602
60203,고시학원,602
60204,예체능학원,602
60205,보습학원,602
60206,어학원,602
60207,미술학원,602
60208,음악학원,602
60209,일본어학원,602
60210,중국어학원,602
60211,영어학원,602
60212,편입학원,602
60213,논술학원,602
60214,유학원,602
60301,유아원,603
60302,유치원,603
60303,어린이집,603
60304,보육시설,603
60401,교재제작·출판,604
60402,학습지,604
60403,통신교육,604
60404,기업교육,604
60405,전화영어,604
60406,사회교육,604
60501,기능학원,605
60502,패션·디자인학원,605
60503,자동차학원,605
60504,미용학원,605
60505,요리학원,605
60506,자격증학원,605
60507,무용·댄스학원,605
60508,직업전문학교,605
70101,병원·진료,701
70102,산부인과,701
70103,치과,701
70104,안과,701
70105,정형외과,701
70106,이비인후과,701
70107,소아과,701
70108,성형외과,701
70109,임상병리,701
70110,한의원,701
70111,동물병원,701
70112,내과,701
70113,외과,701
70115,의료기기,701
70116,응급구조,701
70117,피부과,701
70118,물리치료,701
70119,가정의학과,701
70120,신경외과,701
70121,대장항문과,701
70122,비뇨기과,701
70123,신경정신과,701
70124,재활의학과,701
70125,영상의학과,701
70126,중환자실,701
70127,인공신장실,701
70201,대학병원,702
70202,종합병원,702
70203,전문병원,702
70204,검진센터,702
70205,정신병원,702
70206,요양병원,702
70207,국공립병원,702
70208,보건소,702
70209,노인병원,702
70210,한방병원,702
70301,건강보조식품,703
70302,의약·제약,703
70303,의료·보건,703
70304,위생,703
70305,영양사,703
70306,바이오,703
70307,생명공학,703
70308,약국,703
70401,복지시설,704
70402,노인복지,704
70403,요양보호,704
70404,장애시설,704
80101,할인점,801
80102,백화점,801
80103,홈쇼핑,801
80104,대형마트,801
80105,편의점,801
80106,롯데백화점,801
80107,신세계백화점,801
80108,현대백화점,801
80109,이마트,801
80110,롯데마트,801
80111,홈플러스,801
80112,면세점,801
80113,쇼핑몰,801
80114,로드샵,801
80201,판매,802
80202,화장품매장,802
80203,가구·침구·소품,802
80204,꽃집,802
80205,스포츠·레저용품,802
80206,유아용품,802
80207,서적·음반,802
80208,IT·통신기기판매,802
80209,가전·오디오판매,802
80210,문구·팬시,802
80211,의류매장,802
80212,잡화매장,802
80213,구두·신발,802
80214,주방용품,802
80215,자동차매장,802
80301,유통업,803
80302,물류업,803
80303,무역업,803
80304,상사,803
80305,수입유통,803
80306,물류센터,803
80307,컨테이너,803
80401,육상운송,804
80402,해상운송,804
80403,항공운송,804
80404,보세운송,804
80405,철도,804
80406,지하철,804
80407,택시,804
80408,시내버스,804
80409,고속버스,804
80410,배송·택배,804
80411,퀵서비스,804
80412,포장이사,804
80413,창고·보관,804
80414,운송·운수,804
80415,우편·우체국,804
90101,건설회사,901
90102,토목회사,901
90103,시공사,901
90104,감리회사,901
90105,도로·항만,901
90106,토지·측량,901
90107,교량,901
90108,1군건설,901
90109,건설현장,901
90110,건축,901
90201,실내건축,902
90202,인테리어,902
90203,샤시·베란다,902
90204,리모델링,902
90205,도배·벽지,902
90206,건축설계·CAD,902
90207,조경,902
90301,상하수도,903
90302,물탱크·수자원,903
90303,폐수처리,903
90304,공조냉동,903
90305,플랜트,903
90306,소방·방재,903
90307,전기설비,903
90308,통신설비,903
90309,가스설비,903
9_0310,냉난방설비,903
90311,비파괴검사,903
90312,환경,903
90313,안전관리,903
90314,시설,903
90401,공인중개사,904
90402,부동산중개,904
90403,임대컨설팅,904
90404,토지개발,904
90405,부동산개발,904
90406,해외부동산,904
90407,분양사무소,904
90408,경매·공매,904
90409,사무실,904
90410,상가,904
90411,빌딩,904
90412,토지,904
90413,아파트,904
90414,오피스텔,904
90415,모델하우스,904
100101,공공기관,1001
100102,공사·공기업,1001
100103,공단,1001
100104,공무원,1001
100105,영사관·대사관,1001
100106,외국관광청,1001
100107,중앙정부기관,1001
100108,지방자치단체,1001
100110,정당,1001
100111,도서관,1001
100112,박물관·미술관,1001
100113,국립공원,1001
100201,협회,1002
100202,조합,1002
100203,종교단체,1002
100204,재단법인,1002
100205,사단법인,1002
100206,연합회,1002
100207,연맹,1002
100208,시민단체,1002
100209,NGO·사회공헌,1002
100210,국제기구,1002
100301,법률사무소,1003
100302,법률상담,1003
100303,로펌,1003
100304,변호사사무실,1003
100305,특허사무소,1003
100306,법무사무소,1003
100307,법무법인,1003
100308,노무법인,1003
100309,변리사사무소,1003
100401,세무회계사무소,1004
100402,세무법인,1004
100403,세무컨설팅,1004
100404,회계법인,1004
100501,연구소,1005
100502,컨설팅,1005
100503,경제연구소,1005
100504,경영연구소,1005
100505,조사분석,1005
100506,연구원,1005 